{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/bitumin/bitumin116.jpeg has score 0.063
trainset/bitumin/bitumin131.jpeg has score 0.063
trainset/sand/sand124.jpeg has score 0.065
trainset/sand/sand121.jpeg has score 0.065
trainset/bitumin/bitumin114.jpeg has score 0.066
trainset/bitumin/bitumin124.jpeg has score 0.066
trainset/bitumin/bitumin117.jpeg has score 0.067
trainset/bitumin/bitumin134.jpeg has score 0.067
trainset/sand/sand1.jpeg has score 0.068
trainset/bitumin/bitumin126.jpeg has score 0.069
trainset/bitumin/bitumin125.jpeg has score 0.069
trainset/bitumin/bitumin115.jpeg has score 0.07
trainset/bitumin/bitumin118.jpeg has score 0.07
trainset/bitumin/bitumin123.jpeg has score 0.071
trainset/bitumin/bitumin129.jpeg has score 0.077
trainset/bitumin/bitumin133.jpeg has score 0.08
trainset/bitumin/bitumin132.jpeg has score 0.08
trainset/bitumin/bitumin120.jpeg has score 0.08
trainset/bitumin/bitumin121.jpeg has score 0.08
trainset/bitumin/bitumin122.jpeg has score 0.082
trainset/bitumin/bitumin130.jpeg has score 0.084
trainset/bitumin/bitumin127.jpeg has score 0.087
trainset/bitumin/bitumin128.jpeg has score 0.095
trainset/sand/sand126.jpeg has score 0.096
trainset/sand/sand114.jpeg has score 0.104
trainset/sand/sand4.jpeg has score 0.107
trainset/sand/sand5.jpeg has score 0.167
trainset/sand/sand2.jpeg has score 0.196
Displaying scores for queryset/testMaterial/indexgravel4.jpeg ** 

trainset/sand/sand5.jpeg has score 1.015
trainset/sand/sand2.jpeg has score 1.082
